"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.34667668749979e-250,0.32056711720833,0.989,0.978,8.34127256331209e-246,"1","MGST1"
7.49195104800209e-249,0.353966294629439,0.988,0.958,1.4377054061116e-244,"1","YWHAQ"
2.9694048435613e-247,0.897960927630407,0.556,0.354,5.69828789479414e-243,"1","FAM111A"
5.17953343146459e-247,0.490901438936883,0.939,0.856,9.93952465498055e-243,"1","XIST"
4.90594484566971e-246,0.51283821651593,0.9,0.759,9.41450815884018e-242,"1","HLA-DRB1"
3.76066497983995e-245,0.261294889995697,1,0.998,7.21671609631286e-241,"1","ALDOA"
1.44707294100476e-244,0.593703720603543,0.81,0.646,2.77693297378813e-240,"1","CDCA4"
1.8531018480902e-243,0.492470173909125,0.91,0.818,3.55610244648509e-239,"1","USP1"
6.16095622280965e-236,0.675934528553438,0.715,0.526,1.18228749915717e-231,"1","UBE2T"
1.61052773883925e-234,0.497108787161968,0.886,0.78,3.09060273083252e-230,"1","MEA1"
2.12488441159604e-234,0.660156566845853,0.738,0.566,4.07765318585281e-230,"1","FEN1"
4.05517371938702e-234,0.533691539878295,0.852,0.714,7.7818783675037e-230,"1","GGH"
7.17234800929547e-234,0.915574584782154,0.52,0.321,1.3763735829838e-229,"1","TCF19"
9.74601120486655e-233,0.448289793031844,0.938,0.854,1.87025955021389e-228,"1","RNASEH2B"
2.16128761596339e-232,0.842027496230161,0.599,0.403,4.14751093503375e-228,"1","PHGDH"
1.04578702413197e-230,0.354973427604241,0.995,0.972,2.00686529930925e-226,"1","HLA-DRA"
2.46187727998957e-230,0.815918561362936,0.546,0.348,4.72434250029999e-226,"1","OCIAD2"
2.97790363126014e-230,0.767077558020918,0.692,0.494,5.7145970683882e-226,"1","RMI2"
1.27184805614872e-226,0.591556835009897,0.75,0.556,2.4406764197494e-222,"1","CKB"
3.85473049301445e-224,0.50181159923849,0.884,0.777,7.39722781609472e-220,"1","PXMP2"
9.28722729978153e-222,0.560861665162571,0.813,0.678,1.78221891882808e-217,"1","SMC3"
1.3978507172272e-221,0.58086360407724,0.823,0.69,2.68247552635901e-217,"1","PYCARD"
2.76031198291145e-221,0.769153336051547,0.602,0.409,5.29703869520708e-217,"1","SMCO4"
3.35403472210745e-219,0.569551963318895,0.769,0.575,6.4363926317242e-215,"1","HOPX"
9.55274804361296e-217,0.732747029097022,0.645,0.462,1.83317234956933e-212,"1","CENPU"
1.65992036341447e-216,0.407804771705219,0.968,0.935,3.18538717739237e-212,"1","ZFP36L2"
